source	destination	distance_km	distance_mi
26	15	7835	4897
26	0	10196	6373
26	19	1458	911
26	11	958	599
26	7	638	399
26	4	1029	643
26	17	1761	1101
26	26	0	0
26	5	413	258
26	29	673	421
26	35	965	603
26	27	1162	726
26	10	519	324
26	25	835	522
26	3	635	397
26	20	872	545
26	32	672	420
26	9	1559	974
26	6	8687	5429
26	36	9663	6039
26	31	9968	6230
26	21	15573	9733
26	1	16039	10024
26	8	17513	10946
26	34	1328	830
5	24	8020	5013
5	30	8981	5613
5	23	8998	5624
5	37	9163	5727
5	38	8932	5583
5	33	9515	5947
5	12	8178	5111
5	39	8365	5228
5	22	6887	4304
5	2	6271	3919
5	13	6166	3854
5	40	6436	4023
5	16	6509	4068
5	18	7361	4601
5	15	7764	4853
5	0	9812	6133
5	19	1271	794
5	11	682	426
5	7	342	214
5	4	651	407
5	17	1348	843
5	26	413	258
5	5	0	0
5	29	262	164
5	35	561	351
5	27	769	481
5	10	929	581
5	25	1217	761
5	3	413	258
5	20	660	413
5	32	766	479
5	9	1845	1153
5	6	9089	5681
5	36	9863	6164
5	31	10173	6358
5	21	15911	9944
5	1	16337	10211
5	8	17916	11198
5	34	1452	908
29	24	8195	5122
29	30	9137	5711
29	23	9154	5721
29	37	9302	5814
29	38	9053	5658
29	33	9560	5975
29	12	8252	5158
29	39	8427	5267
29	22	6964	4353
29	2	6333	3958
29	13	6202	3876
29	40	6474	4046
29	16	6548	4093
29	18	7402	4626
29	15	7765	4853
29	0	9587	5992
29	19	1252	783
29	11	637	398
29	7	369	231
29	4	478	299
29	17	1093	683
29	26	673	421
29	5	262	164
29	29	0	0
29	35	304	190
29	27	518	324
29	10	1185	741
29	25	1455	909
29	3	409	256
29	20	598	374
29	32	890	556
29	9	2021	1263
29	6	9332	5833
29	36	9954	6221
29	31	10266	6416
29	21	16091	10057
29	1	16482	10301
29	8	18153	11346
29	34	1547	967
35	24	8447	5279
35	30	9371	5857
35	23	9388	5868
35	37	9522	5951
35	38	9254	5784
35	33	9682	6051
35	12	8408	5255
35	39	8569	5356
35	22	7125	4453
35	2	6480	4050
35	13	6323	3952
35	40	6595	4122
35	16	6670	4169
35	18	7523	4702
35	15	7842	4901
35	0	9371	5857
35	19	1364	853
35	11	775	484
35	7	612	383
35	4	487	304
35	17	836	523
35	26	965	603
35	5	561	351
35	29	304	190
35	35	0	0
35	27	219	137
35	10	1466	916
35	25	1709	1068
35	3	526	329
35	20	593	371
35	32	1043	652
35	9	2194	1371
35	6	9578	5986
35	36	9988	6243
35	31	10302	6439
35	21	16228	10143
35	1	16568	10355
35	8	18374	11484
35	34	1636	1023
27	24	8655	5409
27	30	9572	5983
27	23	9589	5993
27	37	9715	6072
27	38	9439	5899
27	33	9821	6138
27	12	8568	5355
27	39	8720	5450
27	22	7289	4556
27	2	6637	4148
27	13	6464	4040
27	40	6737	4211
27	16	6812	4258
27	18	7664	4790
27	15	7955	4972
27	0	9262	5789
27	19	1522	951
27	11	959	599
27	7	828	518
27	4	640	400
27	17	725	453
27	26	1162	726
27	5	769	481
27	29	518	324
27	35	219	137
27	27	0	0
27	10	1650	1031
27	25	1868	1168
27	3	646	404
27	20	626	391
27	32	1144	715
27	9	2286	1429
27	6	9715	6072
27	36	9953	6221
27	31	10269	6418
27	21	16259	10162
27	1	16557	10348
27	8	18464	11540
27	34	1676	1048
10	24	7610	4756
10	30	8636	5398
10	23	8655	5409
10	37	8883	5552
10	38	8730	5456
10	33	9588	5993
10	12	8163	5102
10	39	8395	5247
10	22	6883	4302
10	2	6331	3957
10	13	6322	3951
10	40	6582	4114
10	16	6650	4156
10	18	7483	4677
10	15	8015	5009
10	0	10702	6689
10	19	1852	1158
10	11	1433	896
10	7	1139	712
10	4	1543	964
10	17	2277	1423
10	26	519	324
10	5	929	581
10	29	1185	741
10	35	1466	916
10	27	1650	1031
10	10	0	0
10	25	378	236
10	3	1051	657
10	20	1239	774
10	32	807	504
10	9	1225	766
10	6	8170	5106
10	36	9344	5840
10	31	9644	6028
10	21	15097	9436
10	1	15595	9747
10	8	16995	10622
10	34	1262	789
25	24	7758	4849
25	30	8805	5503
25	23	8825	5516
25	37	9076	5673
25	38	8950	5594
25	33	9886	6179
25	12	8444	5278
25	39	8687	5429
25	22	7171	4482
25	2	6638	4149
25	13	6650	4156
25	40	6907	4317
25	16	6974	4359
25	18	7799	4874
25	15	8356	5223
25	0	11027	6892
25	19	2227	1392
25	11	1784	1115
25	7	1473	921
25	4	1859	1162
25	17	2541	1588
25	26	835	522
25	5	1217	761
25	29	1455	909
25	35	1709	1068
25	27	1868	1168
25	10	378	236
25	25	0	0
25	3	1230	769
25	20	1362	851
25	32	835	522
25	9	867	542
25	6	7877	4923
25	36	8971	5607
25	31	9270	5794
25	21	14742	9214
25	1	15227	9517
25	8	16700	10438
25	34	1064	665
3	24	8404	5253
3	30	9376	5860
3	23	9394	5871
3	37	9566	5979
3	38	9341	5838
3	33	9922	6201
3	12	8590	5369
3	39	8776	5485
3	22	7300	4563
3	2	6681	4176
3	13	6571	4107
3	40	6841	4276
3	16	6914	4321
3	18	7767	4854
3	15	8154	5096
3	0	9893	6183
3	19	1643	1027
3	11	1033	646
3	7	720	450
3	4	882	551
3	17	1353	846
3	26	635	397
3	5	413	258
3	29	409	256
3	35	526	329
3	27	646	404
3	10	1051	657
3	25	1230	769
3	3	0	0
3	20	253	158
3	32	517	323
3	9	1668	1043
3	6	9070	5669
3	36	9545	5966
3	31	9857	6161
3	21	15716	9823
3	1	16085	10053
3	8	17849	11156
3	34	1143	714
20	24	8655	5409
20	30	9628	6018
20	23	9646	6029
20	37	9819	6137
20	38	9592	5995
20	33	10150	6344
20	12	8830	5519
20	39	9012	5633
20	22	7540	4713
20	2	6917	4323
20	13	6796	4248
20	40	7068	4418
20	16	7141	4463
20	18	7995	4997
20	15	8362	5226
20	0	9876	6173
20	19	1849	1156
20	11	1235	772
20	7	945	591
20	4	1034	646
20	17	1350	844
20	26	872	545
20	5	660	413
20	29	598	374
20	35	593	371
20	27	626	391
20	10	1239	774
20	25	1362	851
20	3	253	158
20	20	0	0
20	32	556	348
20	9	1670	1044
20	6	9128	5705
20	36	9400	5875
20	31	9714	6071
20	21	15646	9779
20	1	15975	9984
20	8	17839	11149
20	34	1053	658
32	24	8397	5248
32	30	9408	5880
32	23	9427	5892
32	37	9637	6023
32	38	9455	5909
32	33	10180	6363
32	12	8801	5501
32	39	9009	5631
32	22	7511	4694
32	2	6921	4326
32	13	6854	4284
32	40	7121	4451
32	16	7193	4496
32	18	8040	5025
32	15	8487	5304
32	0	10405	6503
32	19	2030	1269
32	11	1449	906
32	7	1108	693
32	4	1367	854
32	17	1864	1165
32	26	672	420
32	5	766	479
32	29	890	556
32	35	1043	652
32	27	1144	715
32	10	807	504
32	25	835	522
32	3	517	323
32	20	556	348
32	32	0	0
32	9	1151	719
32	6	8579	5362
32	36	9097	5686
32	31	9407	5879
32	21	15206	9504
32	1	15594	9746
32	8	17334	10834
32	34	689	431
9	24	8387	5242
9	30	9462	5914
9	23	9482	5926
9	37	9769	6106
9	38	9687	6054
9	33	10720	6700
9	12	9261	5788
9	39	9515	5947
9	22	7999	4999
9	2	7484	4678
9	13	7510	4694
9	40	7765	4853
9	16	7831	4894
9	18	8651	5407
9	15	9222	5764
9	0	11546	7216
9	19	3015	1884
9	11	2501	1563
9	7	2163	1352
9	4	2486	1554
9	17	3010	1881
9	26	1559	974
9	5	1845	1153
9	29	2021	1263
9	35	2194	1371
9	27	2286	1429
9	10	1225	766
9	25	867	542
9	3	1668	1043
9	20	1670	1044
9	32	1151	719
9	9	0	0
9	6	7478	4674
9	36	8127	5079
9	31	8428	5268
9	21	14072	8795
9	1	14496	9060
9	8	16184	10115
9	34	756	473
6	24	7707	4817
6	30	8316	5198
6	23	8331	5207
6	37	8816	5510
6	38	9308	5818
6	33	11310	7069
6	12	10400	6500
6	39	10736	6710
6	22	10138	6336
6	2	10349	6468
6	13	10849	6781
6	40	10884	6803
6	16	10882	6801
6	18	11038	6899
6	15	11996	7498
6	0	18566	11604
6	19	9779	6112
6	11	9559	5974
6	7	9302	5814
6	4	9712	6070
6	17	10414	6509
6	26	8687	5429
6	5	9089	5681
6	29	9332	5833
6	35	9578	5986
6	27	9715	6072
6	10	8170	5106
6	25	7877	4923
6	3	9070	5669
6	20	9128	5705
6	32	8579	5362
6	9	7478	4674
6	6	0	0
6	36	5322	3326
6	31	5318	3324
6	21	7161	4476
6	1	7826	4891
6	8	8826	5516
6	34	8199	5124
36	24	12932	8083
36	30	13640	8525
36	23	13650	8531
36	37	14140	8838
36	38	14620	9138
36	33	16630	10394
36	12	15570	9731
36	39	15930	9956
36	22	14922	9326
36	2	14811	9257
36	13	15119	9449
36	40	15294	9559
36	16	15332	9583
36	18	15864	9915
36	15	16792	10495
36	0	15645	9778
36	19	11114	6946
36	11	10546	6591
36	7	10205	6378
36	4	10424	6515
36	17	10567	6604
36	26	9663	6039
36	5	9863	6164
36	29	9954	6221
36	35	9988	6243
36	27	9953	6221
36	10	9344	5840
36	25	8971	5607
36	3	9545	5966
36	20	9400	5875
36	32	9097	5686
36	9	8127	5079
36	6	5322	3326
36	36	0	0
36	31	316	198
36	21	6462	4039
36	1	6615	4134
36	8	8718	5449
36	34	8414	5259
31	24	12977	8111
31	30	13630	8519
31	23	13640	8525
31	37	14120	8825
31	38	14630	9144
31	33	16610	10381
31	12	15650	9781
31	39	16004	10003
31	22	15078	9424
31	2	15007	9379
31	13	15339	9587
31	40	15503	9689
31	16	15537	9711
31	18	16025	10016
31	15	16972	10608
31	0	15724	9828
31	19	11421	7138
31	11	10855	6784
31	7	10514	6571
31	4	10737	6711
31	17	10883	6802
31	26	9968	6230
31	5	10173	6358
31	29	10266	6416
31	35	10302	6439
31	27	10269	6418
31	10	9644	6028
31	25	9270	5794
31	3	9857	6161
31	20	9714	6071
31	32	9407	5879
31	9	8428	5268
31	6	5318	3324
31	36	316	198
31	31	0	0
31	21	6147	3842
31	1	6299	3937
31	8	8401	5251
31	34	8725	5453
21	24	11821	7388
21	30	11420	7138
21	23	11410	7131
21	37	11570	7231
21	38	12070	7544
21	33	12700	7938
21	12	13400	8375
21	39	13435	8397
21	22	14364	8978
21	2	15038	9399
21	13	15501	9688
21	40	15285	9553
21	16	15219	9512
21	18	14546	9091
21	15	14760	9225
21	0	14149	8843
21	19	16884	10553
21	11	16527	10329
21	7	16208	10130
21	4	16558	10349
21	17	16948	10593
21	26	15573	9733
21	5	15911	9944
21	29	16091	10057
21	35	16228	10143
21	27	16259	10162
21	10	15097	9436
21	25	14742	9214
21	3	15716	9823
21	20	15646	9779
21	32	15206	9504
21	9	14072	8795
21	6	7161	4476
21	36	6462	4039
21	31	6147	3842
21	21	0	0
21	1	731	457
21	8	2279	1424
21	34	14594	9121
1	24	12439	7774
1	30	11970	7481
1	23	11960	7475
1	37	12070	7544
1	38	12550	7844
1	33	12970	8106
1	12	13820	8638
1	39	13817	8636
1	22	14875	9297
1	2	15567	9729
1	13	15988	9993
1	40	15752	9845
1	16	15681	9801
1	18	14944	9340
1	15	15024	9390
1	0	13521	8451
1	19	17435	10897
1	11	16994	10621
1	7	16658	10411
1	4	16960	10600
1	17	17180	10738
1	26	16039	10024
1	5	16337	10211
1	29	16482	10301
1	35	16568	10355
1	27	16557	10348
1	10	15595	9747
1	25	15227	9517
1	3	16085	10053
1	20	15975	9984
1	32	15594	9746
1	9	14496	9060
1	6	7826	4891
1	36	6615	4134
1	31	6299	3937
1	21	731	457
1	1	0	0
1	8	2150	1344
1	34	14943	9339
8	24	11227	7017
